Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Salary Range From,Salary Range To,Salary Frequency,Posting Date
135890,DEPT OF ENVIRONMENT PROTECTION,External,1,HVAC/PFP Design Lead,ADMINISTRATIVE ENGINEER,10015,M2,54740,146276,Annual,11/25/13 0:00
135897,LAW DEPARTMENT,Internal,1,Assistant City Assessor,ASSISTANT CITY ASSESSOR,40201,2,40623,50572,Annual,11/26/13 0:00
135897,LAW DEPARTMENT,External,1,Assistant City Assessor,ASSISTANT CITY ASSESSOR,40201,2,40623,50572,Annual,11/26/13 0:00
136041,ADMIN FOR CHILDREN'S SVCS,External,1,Senior Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,7/9/14 0:00
114352,DEPT OF ENVIRONMENT PROTECTION,Internal,5,Deputy Plant Chief,SENIOR STATIONARY ENGINEER (EL,91639,0,109850,109850,Annual,12/12/12 0:00
117261,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,20202,0,43349,52496,Annual,2/20/13 0:00
117261,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,20202,0,43349,52496,Annual,2/20/13 0:00
117841,FIRE DEPARTMENT,External,15,On-Line Medical Control (OLMC) Physician,CITY MEDICAL SPECIALIST (PART-,53040,2,66,71,Hourly,3/12/14 0:00
117841,FIRE DEPARTMENT,Internal,15,On-Line Medical Control (OLMC) Physician,CITY MEDICAL SPECIALIST (PART-,53040,2,66,71,Hourly,3/12/14 0:00
119500,CIVILIAN COMPLAINT REVIEW BD,Internal,6,Investigator (Level 2),INVESTIGATOR (CCRB),31165,2,42648,60719,Annual,5/1/13 0:00
136041,ADMIN FOR CHILDREN'S SVCS,Internal,1,Senior Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,7/9/14 0:00
137433,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Contract Analyst,PROCUREMENT ANALYST,12158,3,50598,85053,Annual,12/9/13 0:00
138531,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Chemist,ASSOCIATE CHEMIST,21822,2,50623,75083,Annual,12/20/13 0:00
119776,DEPARTMENT OF FINANCE,External,1,Senior Developer,COMPUTER SYSTEMS MANAGER,10050,M1,49492,120000,Annual,8/13/13 0:00
119776,DEPARTMENT OF FINANCE,Internal,1,Senior Developer,COMPUTER SYSTEMS MANAGER,10050,M1,49492,120000,Annual,8/13/13 0:00
119932,FIRE DEPARTMENT,External,1,Oracle Applications Developer,COMPUTER SPECIALIST (SOFTWARE),13632,1,69097,86117,Annual,3/12/14 0:00
119932,FIRE DEPARTMENT,Internal,1,Oracle Applications Developer,COMPUTER SPECIALIST (SOFTWARE),13632,1,69097,86117,Annual,3/12/14 0:00
138670,NYC HOUSING AUTHORITY,External,30,PLASTERER,PLASTERER,92235,0,74158,74158,Annual,1/24/14 0:00
138670,NYC HOUSING AUTHORITY,Internal,30,PLASTERER,PLASTERER,92235,0,74158,74158,Annual,1/24/14 0:00
138908,DEPT OF ENVIRONMENT PROTECTION,External,1,Clean Water and Sewer Systems Modeler,ASSOCIATE PROJECT MANAGER,22427,3,75981,103007,Annual,12/27/13 0:00
138908,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Clean Water and Sewer Systems Modeler,ASSOCIATE PROJECT MANAGER,22427,3,75981,103007,Annual,12/27/13 0:00
138999,ADMIN FOR CHILDREN'S SVCS,Internal,1,Program Analyst,COMMUNITY COORDINATOR,56058,0,45615,70810,Annual,7/2/14 0:00
120749,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,83008,M2,90000,120000,Annual,5/24/13 0:00
120749,DEPT OF ENVIRONMENT PROTECTION,External,1,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,83008,M2,90000,120000,Annual,5/24/13 0:00
